,show_sea_ep,ep_title,airdate,synopsis,IMDB_ID,IMDB_user_rating,num_IMDB_usr_rtgs
0,Star Trek: The Original Series - Season 1 - 0,The Cage,27 Nov. 1988,Capt. Pike is held prisoner and tested by aliens who have the power to project incredibly lifelike illusions.,https://www.imdb.com/title/tt0059753,7.7,4631
1,Star Trek: The Original Series - Season 1 - 1,The Man Trap,8 Sep. 1966,Dr. McCoy discovers his old flame is not what she seems after crew members begin dying from a sudden lack of salt in their bodies.,https://www.imdb.com/title/tt0708469,7.3,3426
2,Star Trek: The Original Series - Season 1 - 2,Charlie X,15 Sep. 1966,Captain Kirk must learn the limits to the power of a 17-year-old boy with the psychic ability to create anything and destroy anyone.,https://www.imdb.com/title/tt0708424,7.1,3216
3,Star Trek: The Original Series - Season 1 - 3,Where No Man Has Gone Before,22 Sep. 1966,The flight recorder of the 200-year-old U.S.S. Valiant relays a tale of terror--a magnetic storm at the edge of the galaxy!,https://www.imdb.com/title/tt0061027,7.8,4149
4,Star Trek: The Original Series - Season 1 - 4,The Naked Time,29 Sep. 1966,The crew is infected with a mysterious disease that removes people's emotional inhibitions to a dangerous degree.,https://www.imdb.com/title/tt0708473,8.0,3019
5,Star Trek: The Original Series - Season 1 - 5,The Enemy Within,6 Oct. 1966,"A transporter malfunction splits Captain Kirk into two halves: one meek and indecisive, the other violent and ill tempered. The remaining crew members stranded on the planet cannot be beamed up to the ship until a problem is fixed.",https://www.imdb.com/title/tt0708463,7.8,2887
6,Star Trek: The Original Series - Season 1 - 6,Mudd's Women,13 Oct. 1966,The Enterprise picks up untrustworthy entrepreneur Harry Mudd accompanied by three beautiful women who immediately put a spell on all the male crew members.,https://www.imdb.com/title/tt0708439,6.8,2825
7,Star Trek: The Original Series - Season 1 - 7,What Are Little Girls Made Of?,20 Oct. 1966,Nurse Chapel is reunited with her fiancé; but his new obsession leads him to make an android duplicate of Captain Kirk.,https://www.imdb.com/title/tt0708486,7.6,2670
8,Star Trek: The Original Series - Season 1 - 8,Miri,27 Oct. 1966,"The Enterprise discovers a planet exactly like Earth, but the only inhabitants are children who contract a fatal disease upon entering puberty.",https://www.imdb.com/title/tt0394905,7.1,2667
9,Star Trek: The Original Series - Season 1 - 9,Dagger of the Mind,3 Nov. 1966,Kirk and psychiatrist Helen Noel are trapped on a maximum security penal colony that experiments with mind control and Spock must use the Vulcan mind-meld to find a way to save them.,https://www.imdb.com/title/tt0708426,7.5,2515
10,Star Trek: The Original Series - Season 1 - 10,The Corbomite Maneuver,10 Nov. 1966,"After the Enterprise is forced to destroy a dangerous marker buoy, a gigantic alien ship arrives to capture and condemn the crew as trespassers.",https://www.imdb.com/title/tt0708458,8.1,2840
11,Star Trek: The Original Series - Season 1 - 11,The Menagerie: Part I,17 Nov. 1966,"Spock kidnaps the crippled Capt. Pike, hijacks the Enterprise and then surrenders for court martial.",https://www.imdb.com/title/tt0394904,8.4,2791
12,Star Trek: The Original Series - Season 1 - 12,The Menagerie: Part II,24 Nov. 1966,"At Spock's court martial, he explains himself with mysterious footage about when Capt. Pike was kidnapped by powerful illusion casting aliens.",https://www.imdb.com/title/tt0708472,8.3,2698
13,Star Trek: The Original Series - Season 1 - 13,The Conscience of the King,8 Dec. 1966,"While Captain Kirk investigates whether an actor is actually a presumed dead mass murderer, a mysterious assailant is killing the people who could identify the fugitive.",https://www.imdb.com/title/tt0394903,7.2,2450
14,Star Trek: The Original Series - Season 1 - 14,Balance of Terror,15 Dec. 1966,The Enterprise must decide on its response when a Romulan ship makes a destructively hostile armed probe of Federation territory.,https://www.imdb.com/title/tt0708420,9.0,3284
15,Star Trek: The Original Series - Season 1 - 15,Shore Leave,29 Dec. 1966,"The past three months has left the crew of the Enterprise exhausted and in desperate need of a break, but does this explain McCoy's encounter with a human-sized white rabbit or Kirk crossing paths with the prankster who plagued his days at Starfleet Academy?",https://www.imdb.com/title/tt0708446,7.6,2605
16,Star Trek: The Original Series - Season 1 - 16,The Galileo Seven,5 Jan. 1967,"The Galileo, under Spock's command, crash-lands on a hostile planet. As the Enterprise races against time to find the shuttlecraft, Spock's strictly logical leadership clashes with the fear and resentment of his crew.",https://www.imdb.com/title/tt0708465,7.8,2499
17,Star Trek: The Original Series - Season 1 - 17,The Squire of Gothos,12 Jan. 1967,A being that controls matter and creates planets wants to play with the Enterprise crew.,https://www.imdb.com/title/tt0708478,7.4,2429
18,Star Trek: The Original Series - Season 1 - 18,Arena,19 Jan. 1967,"For bringing hostility into their solar system, a superior alien race brings Captain Kirk in mortal combat against the reptilian captain of an alien ship he was pursuing.",https://www.imdb.com/title/tt0708418,8.0,2619
